,strike_price,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,expiry_date,m2m,trade_date,gross_pnl,expenses,interest,net_pnl
,14550,CE,2021-04-05 10:15:00,162.35,2021-04-05 12:25:00,150.35,Signal Change,2021-04-08,900,2021-04-05,900,26.501325,0,873.498675
,14550,PE,2021-04-05 12:25:00,154.9,2021-04-05 15:15:00,93.55,EOD,2021-04-08,4601.25,2021-04-05,4601.25,21.0561375,0,4580.1938625
,14750,PE,2021-04-06 09:30:00,152.05,2021-04-06 12:35:00,137.6,Trailing SL,2021-04-08,1083.75,2021-04-06,1083.75,24.5478375,32.87,1026.3321625
,14650,PE,2021-04-06 13:05:00,106.05,2021-04-06 15:15:00,81.35,EOD,2021-04-08,1852.5,2021-04-06,1852.5,15.88215,0,1836.61785
,14850,PE,2021-04-07 11:40:00,81.95,2021-04-07 15:15:00,77.9,EOD,2021-04-08,303.75,2021-04-07,303.75,13.5472875,32.87,257.3327125
,14950,PE,2021-04-08 09:45:00,52.35,2021-04-08 11:30:00,43.2,Signal Change,2021-04-08,686.25,2021-04-08,686.25,8.0978625,32.87,645.2821375
,14950,CE,2021-04-08 11:30:00,33.35,2021-04-08 11:35:00,35.55,Signal Change,2021-04-08,-165,2021-04-08,-165,5.839275,0,-170.839275
,14950,PE,2021-04-08 11:35:00,38.95,2021-04-08 11:45:00,55.9,Signal Change,2021-04-08,-1271.25,2021-04-08,-1271.25,8.0385375,0,-1279.2885375
,14900,CE,2021-04-08 11:45:00,49.35,2021-04-08 15:15:00,0.35,EOD,2021-04-08,3675,2021-04-08,3675,4.212075,0,3670.787925
,14850,CE,2021-04-09 09:30:00,151.95,2021-04-09 15:15:00,126.05,EOD,2021-04-15,1942.5,2021-04-09,1942.5,23.5605,32.87,1886.0695
,14450,CE,2021-04-12 09:30:00,151.45,2021-04-12 14:32:00,68.9,Target Hit,2021-04-15,6191.25,2021-04-12,6191.25,18.6746625,32.87,6139.7053375
,14300,CE,2021-04-12 14:35:00,135,2021-04-12 14:40:00,135.4,Signal Change,2021-04-15,-30.0000000000004,2021-04-12,-30.0000000000004,22.9164,0,-52.9164000000004
,14300,PE,2021-04-12 14:40:00,141.75,2021-04-12 15:05:00,137,Signal Change,2021-04-15,356.25,2021-04-12,356.25,23.6240625,0,332.6259375
,14300,CE,2021-04-12 15:05:00,132.3,2021-04-12 15:15:00,144.5,EOD,2021-04-15,-914.999999999999,2021-04-12,-914.999999999999,23.4588,0,-938.458799999999
,14350,PE,2021-04-13 11:55:00,108.9,2021-04-13 15:15:00,36,EOD,2021-04-15,5467.5,2021-04-13,5467.5,12.280275,32.87,5422.349725
,14550,PE,2021-04-15 09:30:00,46.1,2021-04-15 09:38:00,99.35,Max SL,2021-04-15,-3993.75,2021-04-15,-3993.75,12.3268875,32.87,-4038.9468875
,14450,PE,2021-04-15 09:40:00,54.1,2021-04-15 11:10:00,97,Max SL,2021-04-15,-3217.5,2021-04-15,-3217.5,12.805725,0,-3230.305725
,14400,PE,2021-04-15 11:20:00,61.8,2021-04-15 15:15:00,0.2,EOD,2021-04-15,4620,2021-04-15,4620,5.2545,0,4614.7455
,14650,PE,2021-04-16 09:30:00,168.65,2021-04-16 15:15:00,152.2,EOD,2021-04-22,1233.75,2021-04-16,1233.75,27.1920375,32.87,1173.6879625
,14250,CE,2021-04-19 09:30:00,156.45,2021-04-19 11:30:00,154.2,Signal Change,2021-04-22,168.75,2021-04-19,168.75,26.3275875,32.87,109.5524125
,14250,PE,2021-04-19 11:30:00,129.2,2021-04-19 15:15:00,91.35,EOD,2021-04-22,2838.75,2021-04-19,2838.75,18.6916125,0,2820.0583875
